Frame 35: [168, 107, 259, 131], 1
Frame 93: [346, 149, 443, 175], 133-363
Frame 879: [625, 175, 737, 200], 7
Frame 35: [168, 107, 259, 131], 1
Frame 35: [168, 107, 259, 131], 1
Frame 93: [346, 149, 443, 175], 133-363
Frame 35: [168, 107, 259, 131], 1
Frame 93: [346, 149, 443, 175], 133-363
Frame 35: [168, 107, 259, 131], 1
Frame 93: [346, 149, 443, 175], 133-363
Frame 35: [168, 107, 259, 131], 1
Frame 93: [346, 149, 443, 175], 133-363
Frame 35: [168, 107, 259, 131], 1
Frame 35: [168, 107, 259, 131], 1
Frame 93: [346, 149, 443, 175], 133-363
Frame 35: [168, 107, 259, 131], 1
Frame 93: [346, 149, 443, 175], 133-363
